number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,07:00:00,[],[]
2,5,07:09:14,08:32:06,"['33', '39']",[]
3,4,08:35:48,08:37:48,"['4', '9']","['33', '39']"
4,5,08:41:30,08:43:30,[],['4']
5,7,08:51:26,08:57:29,[],['9']
6,4,09:08:38,09:12:00,"['25', '16']",[]
7,6,09:20:42,09:27:05,[],"['25', '16']"
8,7,09:29:51,09:31:51,['34'],[]
9,5,09:39:47,09:47:00,['23'],[]
10,4,09:50:42,10:10:35,['11'],"['34', '23']"
11,6,10:19:17,10:21:17,[],['11']
12,7,10:24:03,10:26:03,['14'],[]
13,4,10:37:12,11:04:48,['6'],['14']
14,5,11:08:30,11:10:30,['24'],['6']
15,8,11:19:44,19:00:00,[],['24']
