number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,11:56:01,['15'],[]
2,7,11:59:29,14:17:00,['9'],['15']
3,3,14:24:08,14:27:56,"['29', '4']",['9']
4,11,14:39:01,14:41:01,[],['4']
5,12,14:46:44,14:48:44,['26'],[]
6,13,14:51:30,14:53:30,['18'],"['26', '29']"
7,3,15:10:10,16:20:51,"['44', '3', '20']",['18']
8,8,16:25:00,16:29:42,[],['20']
9,9,16:33:10,16:35:10,['11'],[]
10,12,16:44:16,16:46:16,[],['11']
11,13,16:49:02,16:58:51,[],"['44', '3']"
12,0,17:23:10,19:00:00,[],[]
