user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[92, 18]","[24, 0, 1]",4.0,27.1,31.1,2
1,[18],"[6, 3]",4.0,9.38,7.72,1
2,"[9, 8, 14]","[10, 3, 4, 19]",28.0,22.48,28.48,3
3,"[8, 192]","[1, 0, 21]",4.0,14.8,18.8,2
4,"[4, 8, 9]","[17, 4, 3, 11]",8.0,20.1,25.45,3
5,[8],"[1, 3]",2.0,6.92,8.92,1
6,"[9, 8, 4]","[9, 3, 4, 17]",26.0,15.97,21.98,3
7,"[14, 8]","[19, 4, 3]",4.0,12.7,16.7,2
8,"[92, 64, 19]","[22, 24, 13, 10]",8.0,23.28,29.05,3
9,"[64, 92]","[25, 24, 22]",19.0,13.18,17.18,2
10,"[18, 19]","[2, 0, 9]",10.5,22.6,15.08,2
11,"[64, 19, 8, 14]","[12, 13, 3, 4, 19]",15.7,32.72,40.13,4
12,[9],"[11, 3]",2.0,11.08,13.08,1
13,"[14, 18, 19]","[14, 4, 3, 11]",13.3,22.43,28.17,2
14,[9],"[10, 9]",2.0,2.5,4.5,1
15,"[18, 9]","[5, 3, 11]",4.0,17.0,21.0,2
16,"[14, 18]","[20, 4, 5]",4.0,19.62,23.63,2
17,"[4, 8, 9]","[15, 4, 3, 10]",24.5,19.63,25.63,3
18,"[4, 192]","[16, 0, 23]",11.0,24.78,28.78,2
19,"[192, 19]","[22, 0, 11]",7.8,30.8,27.32,3
