user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[92, 8]","[24, 0, 1]",4.0,27.1,31.1,2
1,[8],"[6, 3]",4.0,9.38,7.72,1
2,"[19, 18, 14]","[10, 3, 4, 19]",28.0,22.48,28.48,3
3,"[18, 92]","[1, 0, 21]",4.0,14.8,18.8,2
4,"[4, 18, 19]","[17, 4, 3, 11]",15.2,20.1,25.45,3
5,[18],"[1, 3]",2.0,6.92,8.92,1
6,"[9, 18, 4]","[9, 3, 4, 17]",6.0,15.97,21.98,3
7,"[14, 18]","[19, 4, 3]",4.0,12.7,16.7,2
8,"[92, 64, 9]","[22, 24, 13, 10]",8.0,23.28,29.05,3
9,"[64, 192]","[25, 24, 22]",19.0,13.18,17.18,2
10,"[8, 9]","[2, 0, 9]",8.7,22.6,15.08,2
11,"[64, 9, 18, 14]","[12, 13, 3, 4, 19]",15.7,32.72,40.13,4
12,[9],"[11, 3]",2.0,11.08,13.08,1
13,"[14, 8, 9]","[14, 4, 3, 11]",6.0,22.43,28.17,2
14,[19],"[10, 9]",2.0,2.5,4.5,1
15,"[8, 19]","[5, 3, 11]",4.0,17.0,21.0,2
16,"[14, 8]","[20, 4, 5]",4.0,19.62,23.63,2
17,"[4, 18, 19]","[15, 4, 3, 10]",27.0,19.63,25.63,3
18,"[4, 192]","[16, 0, 23]",4.0,24.78,28.78,2
19,"[192, 9]","[22, 0, 11]",6.0,30.8,27.32,3
