user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[8, 0]","[31, 6, 1]",26.0,25.28,29.27,2
1,"[10, 6]","[18, 6, 10]",4.0,13.23,17.23,2
2,"[0, 6]","[20, 6, 16]",19.0,7.57,11.57,2
3,"[6, 8]","[9, 6, 30]",10.0,24.47,23.32,2
4,[0],"[4, 19]",2.0,5.75,7.75,1
5,[10],"[6, 20]",2.0,5.75,7.75,1
6,"[0, 7]","[3, 0, 22]",4.0,17.33,21.35,2
7,"[10, 16]","[2, 6, 13]",24.6,21.98,25.57,2
8,"[16, 0]","[13, 6, 4]",4.0,13.22,17.22,2
9,[0],"[3, 18]",4.0,10.58,12.37,1
10,"[10, 18]","[19, 6, 31]",6.0,16.55,18.35,2
11,"[17, 0]","[26, 0, 4]",4.2,28.57,28.85,3
12,"[18, 10]","[28, 6, 1]",21.6,28.2,27.75,2
13,"[7, 18, 10]","[27, 28, 6, 4]",27.9,21.92,27.85,3
14,[0],"[5, 1]",2.0,10.98,12.98,1
15,"[6, 18, 7]","[14, 6, 28, 26]",12.2,26.27,31.92,3
16,"[18, 6]","[31, 6, 14]",6.2,18.78,22.77,2
17,[16],"[15, 12]",4.0,6.2,7.75,1
18,[0],"[0, 3]",2.0,10.92,12.92,1
19,"[16, 10]","[16, 6, 0]",18.7,19.07,18.77,1
20,"[8, 10]","[31, 6, 5]",9.9,14.43,18.42,2
21,"[6, 8]","[9, 6, 30]",10.0,24.47,23.32,2
22,"[7, 10]","[27, 0, 2]",23.4,22.95,25.35,2
23,"[6, 10]","[14, 6, 17]",9.1,9.8,13.78,2
24,"[18, 6]","[29, 6, 11]",17.4,20.0,22.48,2
25,[7],"[21, 25]",2.0,9.0,11.0,1
26,"[7, 0]","[24, 0, 6]",21.4,28.32,27.73,2
27,"[8, 0]","[31, 6, 0]",8.1,30.05,25.68,2
28,"[7, 0, 6]","[21, 0, 6, 11]",12.4,36.13,26.53,2
29,"[16, 0, 7]","[11, 6, 0, 21]",10.3,38.18,26.53,2
30,"[6, 0]","[13, 6, 3]",24.0,17.07,21.08,2
31,"[18, 7]","[31, 28, 27]",4.0,6.2,10.2,2
32,"[0, 6]","[0, 6, 15]",6.4,21.88,19.3,1
33,"[10, 17]","[1, 0, 21]",4.9,9.27,13.27,2
34,[6],"[13, 15]",2.0,5.15,7.15,1
35,"[6, 10]","[14, 6, 3]",7.8,14.92,18.63,2
36,[7],"[27, 28]",2.0,3.63,5.63,1
37,"[8, 7]","[29, 28, 27]",4.0,12.63,16.63,2
38,"[16, 18, 7]","[7, 6, 28, 25]",13.6,33.4,26.0,2
39,"[18, 6]","[29, 6, 8]",8.0,25.18,22.42,2
40,[6],"[8, 7]",2.0,3.85,5.85,1
41,[16],"[15, 10]",4.0,12.63,8.55,1
42,"[7, 18, 6]","[25, 28, 6, 13]",29.3,31.32,36.65,3
43,[18],"[28, 6]",4.0,14.75,16.37,1
44,[10],"[0, 20]",10.0,27.12,24.12,1
45,[7],"[25, 24]",2.0,2.57,4.57,1
46,"[16, 10]","[13, 6, 2]",24.7,21.85,25.57,2
47,"[6, 8]","[15, 6, 17]",4.0,7.52,11.5,2
48,"[6, 18, 7]","[15, 6, 28, 21]",11.4,35.5,25.93,2
49,"[18, 16]","[31, 6, 11]",19.8,26.55,28.58,2
50,"[10, 16]","[18, 6, 10]",4.0,13.23,17.23,2
51,"[16, 18]","[12, 6, 31]",25.0,22.22,26.22,2
52,"[8, 10]","[28, 6, 4]",15.9,26.33,22.22,2
53,[16],"[6, 8]",8.0,19.85,14.67,1
54,"[10, 6]","[5, 6, 12]",23.0,12.95,16.93,2
55,"[0, 6]","[19, 6, 14]",17.2,9.8,13.78,2
56,"[10, 6]","[5, 6, 9]",4.0,14.07,18.07,2
57,"[17, 8]","[23, 28, 30]",15.5,18.42,22.4,2
58,"[0, 16]","[2, 6, 14]",23.6,20.38,23.12,2
59,[16],"[6, 10]",2.0,10.37,12.37,1
