user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[7, 6]","[22, 0, 7]",18.3,16.22,20.23,2
1,[17],"[24, 23]",2.0,2.57,4.57,1
2,"[7, 8, 16]","[26, 28, 6, 15]",10.6,23.65,29.63,3
3,"[0, 7]","[1, 0, 21]",21.0,9.27,13.27,2
4,"[8, 6]","[31, 6, 9]",7.3,23.35,27.35,2
5,"[0, 6]","[18, 6, 11]",19.7,15.6,19.6,2
6,[7],"[21, 28]",6.3,15.92,17.63,1
7,"[0, 16]","[18, 6, 15]",6.0,7.57,11.5,2
8,[0],"[3, 19]",4.0,9.6,11.37,1
9,"[0, 16]","[4, 6, 14]",6.8,10.78,14.77,2
10,"[7, 0, 8]","[24, 0, 6, 29]",8.8,33.6,22.37,2
11,"[17, 8, 6]","[23, 28, 6, 16]",10.0,28.13,28.27,2
12,[8],"[6, 31]",2.0,11.85,13.85,1
13,"[6, 7]","[9, 0, 25]",22.2,27.48,30.05,2
14,[6],"[8, 10]",2.0,2.57,4.57,1
15,[10],"[1, 4]",2.0,9.8,11.8,1
16,"[17, 8, 0]","[23, 28, 6, 18]",16.6,31.73,31.62,2
17,[17],"[26, 27]",2.0,1.28,3.28,1
18,"[18, 7]","[31, 28, 26]",4.0,7.2,11.2,2
19,[16],"[13, 14]",2.0,2.57,4.57,1
20,[8],"[28, 29]",4.4,9.0,11.0,1
21,"[10, 6]","[1, 0, 7]",23.0,14.43,18.43,2
22,[7],"[23, 28]",2.0,11.85,13.85,1
23,"[0, 8]","[1, 6, 31]",6.8,25.6,29.27,2
24,"[18, 10]","[30, 17, 20]",23.0,12.98,16.98,2
25,[17],"[22, 24]",10.7,3.85,5.85,1
26,"[0, 18, 17]","[3, 17, 28, 27]",8.0,27.08,30.82,2
27,[10],"[19, 2]",4.0,15.07,16.37,1
28,[6],"[11, 16]",2.0,10.92,12.92,1
29,"[18, 16]","[29, 6, 16]",16.1,7.57,11.57,2
30,[10],"[0, 17]",6.0,20.98,21.12,1
31,[7],"[0, 25]",4.6,13.63,14.2,1
32,[16],"[13, 8]",2.0,9.8,11.8,1
33,"[16, 8, 7]","[13, 6, 28, 26]",7.8,28.37,34.37,3
34,"[7, 8, 16]","[24, 28, 6, 14]",24.6,31.37,32.92,2
35,"[8, 16]","[31, 6, 12]",24.7,22.55,26.22,2
36,"[16, 0]","[8, 6, 3]",17.1,28.27,24.38,2
37,"[16, 18]","[7, 6, 29]",6.4,17.4,21.4,2
38,"[17, 10, 16]","[25, 0, 6, 13]",21.6,39.08,36.65,3
39,"[10, 16]","[0, 6, 16]",17.6,19.07,18.77,1
40,"[6, 8, 7]","[16, 6, 28, 24]",28.0,25.55,30.57,2
41,[6],"[9, 16]",4.0,13.12,11.8,1
42,[6],"[11, 6]",4.0,13.85,14.73,1
43,"[8, 6]","[30, 6, 16]",4.0,9.63,13.63,2
44,[16],"[9, 10]",2.0,1.28,3.28,1
45,"[6, 10]","[11, 6, 5]",4.0,15.3,19.3,2
46,"[16, 10]","[11, 6, 2]",9.1,24.93,27.35,2
47,[7],"[22, 23]",2.0,1.28,3.28,1
48,[0],"[3, 4]",2.0,3.85,5.85,1
49,[10],"[1, 4]",2.0,9.8,11.8,1
50,"[6, 18]","[14, 6, 29]",4.0,12.67,16.67,2
51,"[17, 18]","[27, 28, 6]",11.5,18.38,22.0,2
52,"[6, 0]","[7, 6, 18]",4.0,14.52,18.52,2
53,[0],"[4, 20]",2.0,8.23,10.23,1
54,[17],"[0, 23]",2.0,7.5,9.5,1
55,[16],"[7, 13]",2.0,11.85,13.85,1
56,"[16, 8, 17]","[11, 6, 28, 26]",10.0,34.93,36.57,2
57,"[10, 16]","[19, 6, 16]",10.1,4.7,8.68,2
58,[6],"[14, 16]",2.0,5.3,7.3,1
59,"[7, 18, 6]","[22, 28, 6, 13]",6.2,36.85,31.52,2
