number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,08:16:52,['48'],[]
2,4,08:29:47,08:32:42,"['4', '24']",['48']
3,9,08:44:31,08:46:31,[],"['4', '24']"
4,14,08:59:04,09:01:04,['45'],[]
5,8,09:24:13,09:26:21,"['10', '13']",['45']
6,10,09:36:40,09:38:40,['6'],[]
7,4,09:44:35,09:46:35,['11'],['13']
8,11,09:57:23,09:59:23,[],['11']
9,13,10:11:04,10:13:04,[],"['10', '6']"
10,8,10:35:00,10:37:00,"['37', '39', '25']",[]
11,9,10:47:46,10:49:46,['34'],[]
12,12,10:55:36,10:57:36,[],['37']
13,13,11:04:19,11:06:19,[],"['34', '39']"
14,14,11:10:01,11:12:01,[],['25']
15,13,11:15:43,11:54:05,['49'],[]
16,4,12:16:34,12:18:34,[],['49']
17,8,12:31:29,19:00:00,[],[]
