user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[29, 28]","[8, 3, 0]",19.0,13.47,14.48,1
1,"[18, 29]","[6, 3, 12]",17.6,22.38,26.38,2
2,"[29, 18]","[11, 3, 5]",4.0,17.0,21.0,2
3,"[28, 29]","[6, 3, 9]",19.3,17.0,17.33,2
4,[28],"[4, 3]",2.0,3.47,5.47,1
5,"[28, 19]","[2, 3, 13]",4.0,20.13,24.13,2
6,"[28, 29]","[1, 3, 8]",20.0,11.08,15.07,2
7,[28],"[5, 1]",2.0,10.57,12.57,1
8,[28],"[2, 1]",2.0,3.47,5.47,1
9,[29],"[3, 11]",6.8,11.82,13.08,1
10,"[29, 18]","[13, 3, 2]",21.2,22.9,24.13,2
11,"[28, 29]","[5, 3, 10]",19.8,19.03,19.7,2
12,[19],"[13, 11]",2.0,5.72,7.72,1
13,[28],"[3, 2]",2.0,3.47,5.47,1
14,"[18, 29]","[6, 3, 8]",10.7,9.87,13.87,2
15,[19],"[0, 7]",2.0,3.47,5.47,1
16,[29],"[9, 8]",2.0,3.47,5.47,1
17,[29],"[3, 12]",12.7,17.53,18.67,1
18,[18],"[1, 0]",2.0,6.23,8.23,1
19,[18],"[2, 6]",2.0,7.37,9.37,1
20,"[28, 29]","[1, 3, 11]",22.0,18.0,22.0,2
21,[28],"[2, 3]",2.0,3.47,5.47,1
22,[29],"[12, 10]",2.0,6.92,8.92,1
23,[18],"[1, 6]",4.0,10.82,11.98,1
24,[19],"[11, 3]",2.0,11.08,13.08,1
25,[29],"[12, 11]",2.0,5.72,7.72,1
26,"[29, 28]","[12, 3, 5]",24.7,22.58,26.58,2
27,"[28, 19]","[2, 3, 10]",10.1,13.57,17.25,2
28,"[19, 18]","[11, 3, 5]",4.0,17.0,21.0,2
29,"[18, 19]","[1, 3, 7]",16.6,14.05,13.7,2
30,[19],"[9, 11]",4.0,4.45,5.47,1
31,"[28, 29]","[2, 3, 9]",4.0,11.08,15.08,2
32,[19],"[11, 12]",2.0,5.72,7.72,1
33,"[29, 18]","[7, 3, 2]",4.0,10.58,14.6,2
34,[18],"[6, 1]",2.0,9.98,11.98,1
35,[18],"[5, 1]",2.0,10.57,12.57,1
36,[28],"[5, 4]",2.0,5.72,7.72,1
37,[18],"[5, 4]",2.0,5.72,7.72,1
38,"[18, 19]","[5, 3, 0]",17.3,18.48,16.82,1
39,[29],"[9, 7]",2.0,14.27,16.27,1
40,"[18, 19]","[6, 3, 13]",24.9,23.48,26.38,2
41,"[28, 29]","[4, 3, 9]",6.2,11.08,15.08,2
42,[19],"[11, 9]",4.0,4.45,5.47,1
43,[29],"[11, 13]",4.0,8.48,7.72,1
44,"[28, 29]","[4, 3, 12]",13.1,20.25,24.13,2
45,[18],"[2, 3]",2.0,3.47,5.47,1
46,"[29, 28]","[9, 3, 6]",23.0,13.32,17.33,2
47,[29],"[3, 7]",2.0,7.13,9.13,1
48,"[19, 18]","[10, 3, 5]",6.0,16.03,19.7,2
49,"[29, 28]","[11, 3, 5]",13.0,17.0,21.0,2
