number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:00:00,[],[]
2,10,07:16:52,08:32:29,['16'],[]
3,3,08:42:16,08:44:16,[],['16']
4,8,08:48:25,09:22:00,['9'],[]
5,3,09:26:09,09:50:10,['33'],['9']
6,8,09:54:19,09:56:19,['37'],['33']
7,3,10:00:28,10:02:28,"['36', '39']",['37']
8,12,10:19:08,10:21:08,[],"['36', '39']"
9,13,10:23:54,10:25:54,['23'],[]
10,11,10:31:37,10:33:37,"['21', '35']",[]
11,8,10:40:32,10:42:32,[],['21']
12,3,10:46:41,10:48:41,[],"['23', '35']"
13,0,10:58:00,19:00:00,[],[]
