number,stop ID,arrival time,departure time,pick up users,drop of users
1,6,07:00:00,07:00:00,[],[]
2,8,07:12:40,08:47:00,['32'],[]
3,15,08:56:05,09:13:02,['31'],[]
4,6,09:17:40,09:27:25,"['24', '17']","['31', '32']"
5,14,09:34:20,09:36:20,[],['24']
6,8,09:45:25,10:01:48,[],['17']
7,14,10:10:53,10:16:47,['1'],[]
8,15,10:19:21,10:21:21,['36'],[]
9,6,10:25:59,10:33:11,[],"['1', '36']"
10,16,10:35:00,10:37:00,['22'],[]
11,12,10:45:37,10:47:37,[],['22']
12,11,10:51:28,11:42:00,['29'],[]
13,12,11:45:51,11:49:15,['49'],[]
14,15,11:55:00,11:57:00,['30'],[]
15,6,12:01:38,12:43:12,['35'],"['30', '29', '49']"
16,14,12:50:07,12:52:07,['6'],[]
17,13,12:54:41,12:56:41,[],['6']
18,12,12:59:15,13:01:15,[],['35']
19,9,13:07:41,13:22:00,['42'],[]
20,6,13:33:30,14:46:34,['44'],['42']
21,11,14:59:18,15:01:18,[],['44']
22,9,15:05:22,15:47:50,['19'],[]
23,15,15:55:39,16:12:39,[],['19']
24,14,16:15:13,16:37:00,['21'],[]
25,15,16:39:34,16:53:17,['15'],[]
26,6,16:57:55,19:00:00,[],"['15', '21']"
