user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[6, 7]","[7, 0, 26]",12.4,24.45,28.47,2
1,[7],"[28, 27]",2.0,3.63,5.63,1
2,"[6, 0]","[10, 6, 17]",22.2,14.07,17.23,2
3,"[17, 6]","[22, 0, 8]",19.0,19.85,23.85,2
4,"[0, 8, 17]","[17, 6, 28, 23]",18.2,29.32,28.7,2
5,[0],"[20, 4]",2.0,8.23,10.23,1
6,[16],"[6, 14]",2.0,6.92,8.92,1
7,"[0, 17]","[2, 0, 23]",22.5,13.42,16.95,2
8,"[18, 6]","[31, 6, 13]",9.3,21.63,25.22,2
9,"[0, 6]","[3, 6, 11]",10.4,23.92,24.45,2
10,"[7, 8]","[22, 28, 29]",21.1,22.55,26.12,2
11,"[10, 8]","[3, 6, 17]",7.9,10.58,12.37,1
12,"[16, 17]","[11, 0, 22]",26.0,24.35,28.33,2
13,"[0, 8, 17]","[5, 6, 28, 23]",8.0,29.02,26.5,2
14,"[16, 10, 17]","[15, 6, 0, 24]",8.0,31.95,31.1,2
15,"[8, 6]","[29, 6, 9]",4.0,17.25,21.25,2
16,"[7, 10]","[23, 0, 3]",21.1,18.4,22.42,2
17,[0],"[3, 1]",6.0,6.73,8.43,1
18,"[0, 6]","[3, 6, 13]",6.8,17.5,21.08,2
19,"[8, 0]","[30, 6, 18]",11.7,14.07,13.12,2
20,"[6, 7]","[8, 0, 27]",16.4,29.6,33.32,2
21,[0],"[6, 18]",2.0,2.87,4.87,1
22,[7],"[0, 21]",2.0,4.63,6.63,1
23,"[10, 18]","[2, 6, 30]",4.0,20.02,24.02,2
24,[10],"[19, 20]",2.0,2.87,4.87,1
25,"[0, 16]","[5, 6, 7]",10.7,26.5,18.22,2
26,[6],"[10, 15]",2.0,6.55,8.55,1
27,"[0, 16]","[17, 6, 12]",16.9,14.8,17.23,2
28,[16],"[13, 0]",8.0,24.35,23.08,1
29,"[17, 18, 6]","[21, 28, 6, 15]",12.2,34.7,25.93,2
30,[7],"[28, 25]",4.0,7.5,8.92,1
31,"[0, 8, 17]","[17, 6, 28, 25]",16.2,24.17,23.77,2
32,"[10, 7]","[1, 0, 27]",24.9,20.58,24.53,2
33,"[16, 0]","[0, 6, 20]",6.0,36.2,24.12,1
34,"[17, 16]","[23, 0, 13]",4.0,28.58,32.58,2
35,"[16, 8, 7]","[16, 6, 28, 25]",26.6,24.47,29.1,3
36,"[8, 6]","[30, 6, 7]",10.1,25.27,23.47,2
37,"[6, 0]","[12, 6, 5]",23.0,12.93,16.93,2
38,[18],"[30, 28]",2.0,6.55,8.55,1
39,"[10, 17]","[20, 0, 22]",14.4,28.55,32.55,2
