number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,08:25:46,[],[]
2,5,08:35:00,08:37:00,['17'],[]
3,4,08:40:42,08:54:27,['38'],['17']
4,5,08:58:09,10:02:00,['16'],['38']
5,4,10:05:42,10:42:51,['0'],['16']
6,5,10:46:33,11:22:00,['10'],['0']
7,4,11:25:42,11:27:42,[],['10']
8,6,11:36:24,12:27:00,['35'],[]
9,4,12:35:42,12:37:42,[],['35']
10,5,12:41:24,12:43:24,['33'],[]
11,4,12:47:06,12:49:06,[],['33']
12,6,12:57:48,13:42:45,['31'],[]
13,8,13:49:58,13:51:58,[],['31']
14,6,13:59:11,15:40:36,['6'],[]
15,5,15:46:31,15:57:00,['18'],[]
16,4,16:00:42,16:03:11,[],"['18', '6']"
17,5,16:06:53,16:34:28,['7'],[]
18,6,16:40:23,16:42:23,[],['7']
19,8,16:49:36,19:00:00,[],[]
