user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[28],"[2, 6]",4.0,8.52,9.37,1
1,"[28, 19]","[0, 3, 10]",16.4,19.43,18.87,1
2,[18],"[1, 4]",4.0,10.38,12.38,1
3,"[28, 29]","[2, 3, 10]",8.0,13.57,17.25,2
4,-,-,-,-,21.0,2
5,-,-,-,-,18.55,2
6,-,-,-,-,13.08,1
7,"[18, 29]","[4, 3, 12]",10.0,20.5,24.13,2
8,[29],"[13, 3]",10.9,22.73,18.67,1
9,-,-,-,-,7.72,1
10,-,-,-,-,24.13,2
11,[19],"[10, 8]",2.0,5.72,7.72,1
12,-,-,-,-,8.92,1
13,[19],"[8, 3]",2.0,4.15,6.15,1
14,"[19, 28]","[9, 3, 5]",15.7,13.53,17.53,2
15,[19],"[11, 8]",4.0,7.67,8.92,1
16,[29],"[9, 7]",4.6,14.75,16.27,1
17,[19],"[11, 8]",4.0,7.67,8.92,1
18,"[28, 29]","[1, 3, 9]",11.7,14.53,18.53,2
19,-,-,-,-,14.12,1
20,[19],"[10, 12]",4.0,7.67,8.92,1
21,-,-,-,-,4.77,1
22,[29],"[9, 3]",2.0,7.62,9.62,1
23,-,-,-,-,20.63,1
24,[28],"[6, 2]",6.0,10.07,9.37,1
25,-,-,-,-,17.53,2
26,-,-,-,-,7.72,1
27,[18],"[1, 3]",2.0,6.92,8.92,1
28,[29],"[12, 3]",8.7,19.95,18.67,1
29,-,-,-,-,17.25,2
30,-,-,-,-,14.6,2
31,-,-,-,-,14.53,1
32,[28],"[3, 1]",2.0,6.92,8.92,1
33,[19],"[9, 11]",4.0,4.45,5.47,1
34,[18],"[3, 4]",2.0,3.47,5.47,1
35,[19],"[13, 7]",8.0,24.32,25.35,1
36,[29],"[12, 3]",20.9,16.78,18.67,1
37,[29],"[8, 12]",2.0,12.53,14.53,1
38,[28],"[5, 6]",2.0,0.7,2.7,1
39,-,-,-,-,18.53,2
40,-,-,-,-,17.53,2
41,-,-,-,-,8.92,1
42,[28],"[3, 5]",2.0,5.92,7.92,1
43,"[19, 18]","[9, 3, 2]",4.0,11.08,15.08,2
44,-,-,-,-,21.0,2
45,[28],"[6, 1]",2.0,9.98,11.98,1
46,-,-,-,-,13.7,2
47,-,-,-,-,24.13,2
48,[29],"[12, 10]",2.0,6.92,8.92,1
49,[29],"[8, 10]",4.0,5.95,7.72,1
50,"[19, 28]","[7, 0, 6]",17.4,18.48,16.85,2
51,-,-,-,-,18.05,1
52,-,-,-,-,12.95,1
53,-,-,-,-,24.13,2
54,-,-,-,-,25.5,1
55,"[18, 29]","[6, 3, 0]",13.8,15.92,16.4,1
56,"[19, 18]","[11, 3, 1]",8.0,18.0,22.0,2
57,"[29, 18]","[0, 3, 5]",8.5,16.5,16.82,1
58,"[29, 18]","[11, 3, 4]",12.5,14.53,18.55,2
59,-,-,-,-,12.57,1
60,[19],"[8, 9]",2.0,3.47,5.47,1
61,[29],"[12, 0]",12.7,29.27,25.5,1
62,[19],"[13, 11]",2.0,5.72,7.72,1
63,-,-,-,-,20.63,1
64,"[19, 18]","[11, 3, 2]",22.0,15.53,18.55,2
65,"[18, 29]","[5, 3, 0]",11.8,15.23,16.82,1
66,-,-,-,-,17.25,2
67,"[18, 29]","[4, 3, 13]",24.1,21.03,24.13,2
68,-,-,-,-,25.35,1
69,-,-,-,-,14.53,1
70,"[29, 28]","[7, 3, 6]",23.0,12.83,16.85,2
71,[19],"[9, 13]",8.0,12.93,11.1,1
72,-,-,-,-,11.78,1
73,[19],"[9, 3]",4.0,7.62,9.62,1
74,-,-,-,-,19.5,2
75,[29],"[7, 8]",6.5,11.28,12.95,1
76,[18],"[6, 2]",5.9,9.17,9.37,1
77,[19],"[7, 8]",6.2,11.28,12.95,1
78,[18],"[5, 2]",14.9,9.38,9.83,1
79,-,-,-,-,18.87,1
80,"[28, 29]","[5, 3, 0]",4.0,15.23,16.82,1
81,[19],"[7, 10]",18.6,17.23,18.05,1
82,-,-,-,-,25.35,1
83,-,-,-,-,11.62,2
84,[28],"[5, 6]",2.0,0.7,2.7,1
85,[18],"[3, 2]",2.0,3.47,5.47,1
86,"[19, 18]","[7, 3, 4]",7.0,10.58,14.6,2
87,[18],"[6, 3]",4.0,6.6,7.72,1
88,-,-,-,-,17.33,2
89,-,-,-,-,7.72,1
90,"[28, 29]","[1, 3, 9]",8.0,14.53,18.53,2
91,-,-,-,-,24.13,2
92,[19],"[11, 12]",2.0,5.72,7.72,1
93,"[18, 29]","[4, 3, 10]",22.1,13.57,17.25,2
94,"[28, 29]","[1, 0, 7]",21.0,9.7,13.7,2
95,[29],"[11, 3]",4.0,11.08,13.08,1
96,"[28, 29]","[2, 3, 10]",11.7,13.57,17.25,2
97,"[19, 28]","[10, 3, 5]",23.7,16.03,19.7,2
98,-,-,-,-,7.72,1
99,[28],"[2, 5]",2.0,7.83,9.83,1
