number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,09:08:48,"['1', '33']",[]
2,17,09:27:55,09:29:55,[],['33']
3,18,09:32:29,09:34:31,[],['1']
4,19,09:36:20,10:02:00,['55'],[]
5,6,10:04:52,10:06:52,[],['55']
6,3,10:14:35,10:37:00,['12'],[]
7,0,10:47:55,10:49:55,[],['12']
8,1,10:54:33,10:56:33,"['42', '73']",[]
9,2,10:57:50,10:59:50,['2'],[]
10,6,11:12:02,11:14:39,['47'],['42']
11,17,11:17:31,11:19:31,[],['47']
12,20,11:25:57,11:31:37,[],"['2', '73']"
13,6,11:37:22,11:39:22,"['40', '66']",[]
14,4,11:43:13,11:45:13,[],['40']
15,3,11:49:04,11:51:04,['72'],['66']
16,6,11:58:47,12:03:54,"['34', '24']",['72']
17,17,12:06:46,12:08:46,[],['34']
18,20,12:15:12,12:17:12,[],['24']
19,6,12:22:57,12:24:57,['48'],[]
20,1,12:38:22,12:40:22,['19'],[]
21,0,12:45:00,12:47:00,['59'],"['19', '48']"
22,2,12:52:27,13:52:00,['32'],['59']
23,6,14:04:12,14:06:12,['37'],['32']
24,19,14:09:04,14:15:56,['20'],['37']
25,17,14:20:00,14:22:00,['31'],[]
26,6,14:24:52,14:39:22,"['25', '28']","['20', '31']"
27,3,14:47:05,14:49:05,[],"['25', '28']"
28,2,14:54:32,15:47:00,['41'],[]
29,3,15:52:27,16:02:00,['69'],[]
30,6,16:09:43,16:11:43,['36'],"['41', '69']"
31,20,16:17:28,16:19:28,[],['36']
32,17,16:25:54,16:57:00,['38'],[]
33,6,16:59:52,17:01:52,[],['38']
34,0,17:19:07,19:00:00,[],[]
