user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[14],"[14, 18]",4.0,16.9,17.98,1
1,"[92, 18]","[22, 0, 4]",21.5,28.47,27.97,2
2,[19],"[11, 10]",2.0,1.95,3.95,1
3,"[64, 9, 8]","[27, 13, 3, 4]",27.6,24.87,30.52,3
4,"[14, 8, 19, 164]","[16, 4, 3, 13, 25]",30.0,30.55,38.43,4
5,"[92, 4]","[23, 0, 14]",4.0,20.92,24.9,2
6,"[4, 8, 19, 164]","[14, 4, 3, 13, 25]",25.8,34.72,36.55,3
7,"[164, 19, 18]","[24, 13, 0, 1]",14.2,39.88,31.1,2
8,"[9, 8]","[9, 3, 2]",4.0,11.08,15.08,2
9,[4],"[4, 15]",2.0,6.38,8.38,1
10,"[8, 14]","[6, 4, 19]",23.0,15.15,19.15,2
11,[19],"[10, 0]",6.0,19.43,18.87,1
12,"[192, 64, 9]","[23, 24, 13, 3]",21.6,29.13,28.68,2
13,[14],"[18, 0]",2.0,18.43,20.43,1
14,[164],"[24, 12]",2.0,4.03,6.03,1
15,"[92, 19]","[22, 0, 11]",15.2,30.48,27.32,3
16,"[8, 9]","[4, 3, 9]",4.0,11.08,15.08,2
17,[4],"[19, 18]",2.0,2.08,4.08,1
18,"[8, 9]","[4, 3, 7]",4.0,10.58,14.6,2
19,[64],"[24, 27]",2.0,2.18,4.18,1
20,[19],"[9, 0]",4.0,16.93,17.48,1
21,[14],"[20, 4]",2.0,13.92,15.92,1
22,"[64, 9, 8, 14]","[12, 13, 3, 4, 20]",32.9,36.95,44.82,4
23,"[19, 192]","[10, 0, 22]",4.2,28.72,29.05,3
24,"[64, 192, 18]","[12, 24, 0, 1]",6.5,31.13,32.35,3
25,[19],"[0, 11]",2.0,18.63,20.63,1
26,[4],"[19, 15]",4.0,17.37,17.25,1
27,"[8, 192, 64]","[3, 0, 24, 26]",14.1,34.93,27.05,2
28,"[19, 8]","[11, 3, 4]",9.5,15.53,18.55,2
29,"[14, 8, 19]","[15, 4, 3, 11]",20.0,21.03,26.93,3
